transponder_id,loop,utcTimestamp,utcTime,lapTime,eventName,trackedRider
RX45668,L07,1741719538.696,2025-03-11 18:58:58.696000,26.29,Vlaamse wielerschool,
RX45668,L07,1741719549.267,2025-03-11 18:59:09.267000,30.563,Vlaamse wielerschool,
RZ43503,L06,1742033050.823,2025-03-15 10:04:10.823000,29.33,Vlaamse wielerschool,
RZ43503,L06,1742033054.863,2025-03-15 10:04:14.863000,29.466,Vlaamse wielerschool,
RZ43503,L06,1742033056.682,2025-03-15 10:04:16.682000,29.513,Vlaamse wielerschool,
RZ43503,L06,1742033063.644,2025-03-15 10:04:23.644000,29.804,Vlaamse wielerschool,
RZ43503,L06,1742033068.985,2025-03-15 10:04:28.985000,30.006,Vlaamse wielerschool,
RZ43503,L06,1742033070.322,2025-03-15 10:04:30.322000,30.163,Vlaamse wielerschool,
RZ43503,L06,1741981233.965,2025-03-14 19:40:33.965000,27.928,Vlaamse wielerschool,
RR01344,L07,1741719541.431,2025-03-11 18:59:01.431000,27.836,Vlaamse wielerschool,
RR01344,L07,1741719545.505,2025-03-11 18:59:05.505000,27.994,Vlaamse wielerschool,
RR01344,L07,1741719547.406,2025-03-11 18:59:07.406000,28.036,Vlaamse wielerschool,
RR01344,L07,1741719554.389,2025-03-11 18:59:14.389000,28.444,Vlaamse wielerschool,
RR01344,L07,1741719559.733,2025-03-11 18:59:19.733000,29.291,Vlaamse wielerschool,
RR01344,L07,1741719560.948,2025-03-11 18:59:20.948000,29.461,Vlaamse wielerschool,
RR01344,L07,1741719570.517,2025-03-11 18:59:30.517000,31.036,Vlaamse wielerschool,
SF16020,L06,1741719529.811,2025-03-11 18:58:49.811000,24.34,Vlaamse wielerschool,
SF16020,L06,1741719533.43,2025-03-11 18:58:53.430000,24.494,Vlaamse wielerschool,
SF16020,L06,1741719535.07,2025-03-11 18:58:55.070000,24.636,Vlaamse wielerschool,
SF16020,L06,1741719515.904,2025-03-11 18:58:35.904000,23.504,Vlaamse wielerschool,
SF16020,L06,1741719547.813,2025-03-11 18:59:07.813000,27.534,Vlaamse wielerschool,
SF16020,L06,1741719549.183,2025-03-11 18:59:09.183000,27.935,Vlaamse wielerschool,
SF16020,L06,1741719528.088,2025-03-11 18:58:48.088000,24.329,Vlaamse wielerschool,
RX46307,L07,1741719411.198,2025-03-11 18:56:51.198000,24.243,Vlaamse wielerschool,
RX46307,L07,1741719414.631,2025-03-11 18:56:54.631000,24.338,Vlaamse wielerschool,
RX46307,L07,1741719416.169,2025-03-11 18:56:56.169000,24.436,Vlaamse wielerschool,
RX46307,L07,1741719422.278,2025-03-11 18:57:02.278000,25.055,Vlaamse wielerschool,
RX46307,L07,1741719427.939,2025-03-11 18:57:07.939000,26.538,Vlaamse wielerschool,
RX46307,L07,1741719429.245,2025-03-11 18:57:09.245000,26.928,Vlaamse wielerschool,
RX46307,L07,1741719440.916,2025-03-11 18:57:20.916000,31.531,Vlaamse wielerschool,
TP10652,L07,1741948497.689,2025-03-14 10:34:57.689000,20.097,Vlaamse wielerschool,
TP10652,L07,1741948501.294,2025-03-14 10:35:01.294000,21.47,Vlaamse wielerschool,
TP10652,L07,1741948502.86,2025-03-14 10:35:02.860000,22.014,Vlaamse wielerschool,
TP10652,L07,1741948485.005,2025-03-14 10:34:45.005000,16.002,Vlaamse wielerschool,
TP10652,L07,1741948488.443,2025-03-14 10:34:48.443000,16.87,Vlaamse wielerschool,
TP10652,L07,1741948489.246,2025-03-14 10:34:49.246000,17.109,Vlaamse wielerschool,
TP10652,L07,1741948526.392,2025-03-14 10:35:26.392000,30.517,Vlaamse wielerschool,
RX82727,L07,1741719340.428,2025-03-11 18:55:40.428000,23.925,Vlaamse wielerschool,
RX82727,L07,1741719345.78,2025-03-11 18:55:45.780000,25.661,Vlaamse wielerschool,
RX82727,L07,1741719347.383,2025-03-11 18:55:47.383000,25.607,Vlaamse wielerschool,
RX82727,L07,1741719353.44,2025-03-11 18:55:53.440000,25.854,Vlaamse wielerschool,
RX82727,L07,1741719358.332,2025-03-11 18:55:58.332000,26.464,Vlaamse wielerschool,
RX82727,L07,1741719359.44,2025-03-11 18:55:59.440000,26.507,Vlaamse wielerschool,
RX82727,L07,1741719368.735,2025-03-11 18:56:08.735000,28.369,Vlaamse wielerschool,
RZ04998,L06,1741719282.633,2025-03-11 18:54:42.633000,24.623,Vlaamse wielerschool,
RZ04998,L06,1741719286.204,2025-03-11 18:54:46.204000,24.565,Vlaamse wielerschool,
RZ04998,L06,1741719287.703,2025-03-11 18:54:47.703000,24.424,Vlaamse wielerschool,
RZ04998,L06,1741719293.539,2025-03-11 18:54:53.539000,24.931,Vlaamse wielerschool,
RZ04998,L06,1741719298.469,2025-03-11 18:54:58.469000,25.891,Vlaamse wielerschool,
RZ04998,L06,1741719299.703,2025-03-11 18:54:59.703000,26.191,Vlaamse wielerschool,
RZ04998,L06,1741719280.721,2025-03-11 18:54:40.721000,24.343,Vlaamse wielerschool,
SC98900,L06,1741812909.332,2025-03-12 20:55:09.332000,25.934,Vlaamse wielerschool,
SC98900,L06,1741812950.992,2025-03-12 20:55:50.992000,37.644,Vlaamse wielerschool,
SC98900,L06,1741812915.204,2025-03-12 20:55:15.204000,26.828,Vlaamse wielerschool,
SC98900,L06,1741812922.561,2025-03-12 20:55:22.561000,28.331,Vlaamse wielerschool,
SC98900,L06,1741812928.59,2025-03-12 20:55:28.590000,29.857,Vlaamse wielerschool,
SC98900,L06,1741812976.368,2025-03-12 20:56:16.368000,46.429,Vlaamse wielerschool,
SC98900,L06,1741812941.466,2025-03-12 20:55:41.466000,34.099,Vlaamse wielerschool,
9992,L07,1741946237.484,2025-03-14 09:57:17.484000,0,Vlaamse wielerschool,
9992,L07,1741946497.792,2025-03-14 10:01:37.792000,3.002,Vlaamse wielerschool,
SF17035,L04,1741719518.475,2025-03-11 18:58:38.475000,24.571,Vlaamse wielerschool,
SF17035,L04,1741719521.918,2025-03-11 18:58:41.918000,24.563,Vlaamse wielerschool,
SF17035,L04,1741719523.476,2025-03-11 18:58:43.476000,24.595,Vlaamse wielerschool,
SF17035,L04,1741719530.059,2025-03-11 18:58:50.059000,25.548,Vlaamse wielerschool,
SF17035,L04,1741719508.724,2025-03-11 18:58:28.724000,24.68,Vlaamse wielerschool,
SF17035,L04,1741719509.664,2025-03-11 18:58:29.664000,24.662,Vlaamse wielerschool,
SF17035,L04,1741719516.756,2025-03-11 18:58:36.756000,24.626,Vlaamse wielerschool,
RX45371,L06,1741719482.215,2025-03-11 18:58:02.215000,76.506,Vlaamse wielerschool,
RX45371,L06,1741719485.465,2025-03-11 18:58:05.465000,75.913,Vlaamse wielerschool,
RX45371,L06,1741719486.856,2025-03-11 18:58:06.856000,75.596,Vlaamse wielerschool,
RX45371,L06,1741719492.259,2025-03-11 18:58:12.259000,101.751,Vlaamse wielerschool,
RX45371,L06,1741719496.655,2025-03-11 18:58:16.655000,23.943,Vlaamse wielerschool,
RX45371,L06,1741719497.658,2025-03-11 18:58:17.658000,23.985,Vlaamse wielerschool,
RX45371,L06,1741719480.562,2025-03-11 18:58:00.562000,76.811,Vlaamse wielerschool,
CX49214,L02,1741949559.835,2025-03-14 10:52:39.835000,18.09,Vlaamse wielerschool,
CX49214,L02,1741949589.475,2025-03-14 10:53:09.475000,26.454,Vlaamse wielerschool,
CX49214,L02,1741949564.499,2025-03-14 10:52:44.499000,19.371,Vlaamse wielerschool,
CX49214,L02,1741949548.75,2025-03-14 10:52:28.750000,17.966,Vlaamse wielerschool,
CX49214,L02,1741949574.166,2025-03-14 10:52:54.166000,22.451,Vlaamse wielerschool,
